   ID   PROVIDER            MODULE                          FUNCTION NAME
88606        fbt               ufs                    ufs_si_inherit entry
88607        fbt               ufs                    ufs_si_inherit return
88608        fbt               ufs                    ufs_si_io_done entry
88609        fbt               ufs                    ufs_si_io_done return
88610        fbt               ufs                  ufs_iget_alloced entry
88611        fbt               ufs                  ufs_iget_alloced return
88612        fbt               ufs                lufs_read_strategy entry
88613        fbt               ufs                lufs_read_strategy return
88614        fbt               ufs                  ufs_dirmakeinode entry
88615        fbt               ufs                  ufs_dirmakeinode return
88616        fbt               ufs                   ufs_delete_init entry
88617        fbt               ufs                   ufs_delete_init return
88618        fbt               ufs                ufs_directio_write entry
88619        fbt               ufs                ufs_directio_write return
88620        fbt               ufs                 logmap_setup_read entry
88621        fbt               ufs                 logmap_setup_read return
88622        fbt               ufs              logmap_list_put_roll entry
88623        fbt               ufs              logmap_list_put_roll return
88624        fbt               ufs              logmap_list_get_roll entry
88625        fbt               ufs              logmap_list_get_roll return
88626        fbt               ufs                  ufs_trans_iupdat entry
88627        fbt               ufs                  ufs_trans_iupdat return
88628        fbt               ufs                  ufs_trans_itrunc entry
88629        fbt               ufs                  ufs_trans_itrunc return
88630        fbt               ufs                   ufs_flush_inode entry
88631        fbt               ufs                   ufs_flush_inode return
88632        fbt               ufs                       getinoquota entry
88633        fbt               ufs                       getinoquota return
88634        fbt               ufs                         _init_top entry
88635        fbt               ufs                         _init_top return
88636        fbt               ufs                         _init_map entry
88637        fbt               ufs                         _init_map return
88638        fbt               ufs                   deltamap_remove entry
88639        fbt               ufs                   deltamap_remove return
88640        fbt               ufs                      deltamap_del entry
88641        fbt               ufs                      deltamap_del return
88642        fbt               ufs                      deltamap_add entry
88643        fbt               ufs                      deltamap_add return
88644        fbt               ufs                    ufs_setreclaim entry
88645        fbt               ufs                    ufs_setreclaim return
88646        fbt               ufs                 ufs_directio_read entry
88647        fbt               ufs                 ufs_directio_read return
88648        fbt               ufs                 ufs_directio_init entry
88649        fbt               ufs                 ufs_directio_init return
88650        fbt               ufs                    ufs_checkclean entry
88651        fbt               ufs                    ufs_checkclean return
88652        fbt               ufs                        trans_roll entry
